Sample	Ring.fr.pith	Ring.fr.bark	Distance.fr.pith	Ring.width	EW.width	LW.width	Proportion.EW	Density	Min.density	Max.density	EW.density	LW.density
1U	70	5	71.44	2.68	1.84	0.84	0.686567164	0.485612106	0.290951941	0.917567912	0.364842701	0.750154614
1U	71	4	74.015	2.46	2.14	0.32	0.869918699	0.45552817	0.320081762	0.990387882	0.389877588	0.894566439
1U	72	3	76.64	2.78	2.11	0.67	0.758992806	0.490705809	0.283638637	0.997633083	0.371967401	0.864643183
1U	73	2	79.15	2.23	1.71	0.52	0.766816143	0.538425175	0.33463087	0.975743283	0.438713252	0.866324
1U	74	1	81.025	1.51	1.2	0.31	0.794701987	0.500586396	0.298192372	1.150565093	0.38446115	0.95010348
2D	1	67	0.87	1.74	0.97	0.77	0.557471264	0.433703051	0.275359293	0.609221009	0.341359349	0.55003213
2D	2	66	2.36	1.24	0.68	0.56	0.548387097	0.552393657	0.427730413	0.732521233	0.474911441	0.646479206
2D	3	65	3.675	1.39	1.18	0.21	0.848920863	0.504358583	0.420411194	0.7614486	0.472196157	0.685080784
2D	4	64	4.97	1.19	0.81	0.38	0.680672269	0.54981702	0.413105243	0.862942807	0.461569849	0.73792283
2D	5	63	6.315	1.49	1.23	0.26	0.825503356	0.507600483	0.420315416	0.80477184	0.472917487	0.671677737
2D	6	62	7.405	0.69	0.5	0.19	0.724637681	0.565337805	0.420258306	0.848243704	0.502665259	0.730265558
2D	7	61	8.06	0.62	0.43	0.19	0.693548387	0.546697075	0.340433974	0.942491079	0.430011086	0.810775892
2D	8	60	8.63	0.52	0.35	0.17	0.673076923	0.583541956	0.38393701	0.97870748	0.469112555	0.819131899
2D	9	59	9.165	0.55	0.29	0.26	0.527272727	0.628274448	0.354906336	0.971402603	0.443192153	0.834712393
2D	10	58	9.85	0.82	0.52	0.3	0.634146341	0.597569143	0.340380248	0.985833893	0.450140631	0.853111898
2D	11	57	10.705	0.89	0.67	0.22	0.752808989	0.427442418	0.28232993	0.855205795	0.340775435	0.691382772
2D	12	56	11.87	1.44	0.91	0.53	0.631944444	0.552087014	0.29680657	1.014606817	0.391863528	0.827187717
2D	13	55	13.625	2.06	1.51	0.55	0.733009709	0.455035931	0.296759449	0.833159138	0.375347891	0.673815821
2D	14	54	15.64	1.96	1.41	0.55	0.719387755	0.442235004	0.267696288	0.832996142	0.342493937	0.697934829
2D	15	53	17.275	1.31	0.91	0.4	0.694656489	0.505080973	0.267653538	1.043053907	0.34776692	0.862970445
2D	16	52	18.575	1.29	0.9	0.39	0.697674419	0.502631488	0.303850284	0.934225581	0.368500389	0.812164792
2D	17	51	19.58	0.72	0.43	0.29	0.597222222	0.576524594	0.332799877	0.970387762	0.416881385	0.813236938
2D	18	50	20.285	0.69	0.42	0.27	0.608695652	0.548334676	0.318284432	0.970320955	0.388837105	0.796442008
2D	19	49	20.905	0.55	0.32	0.23	0.581818182	0.607384535	0.325509565	1.028227511	0.398407441	0.898135275
2D	20	48	21.635	0.91	0.69	0.22	0.758241758	0.534520838	0.310999132	1.057108928	0.412728287	0.916506568
2D	21	47	22.62	1.06	0.79	0.27	0.745283019	0.504478001	0.281993931	1.085966629	0.359927135	0.927423128
2D	22	46	23.66	1.01	0.72	0.29	0.712871287	0.585953794	0.325421576	1.151048285	0.411829142	1.018263273
2D	23	45	24.73	1.12	0.74	0.38	0.660714286	0.607354357	0.325390418	1.085753271	0.415127459	0.981690947
2D	24	44	25.785	0.99	0.66	0.33	0.666666667	0.574756853	0.332591455	1.078379251	0.411915674	0.900439209
2D	25	43	26.815	1.07	0.77	0.3	0.719626168	0.559300496	0.361526989	1.013105541	0.437402698	0.872171511
2D	26	42	27.785	0.87	0.63	0.24	0.724137931	0.522995164	0.332522813	1.070934431	0.399749885	0.846514018
2D	27	41	28.64	0.84	0.61	0.23	0.726190476	0.555606009	0.318025497	1.085330051	0.406073079	0.952193343
2D	28	40	29.54	0.96	0.66	0.3	0.6875	0.582031369	0.303513763	1.0924557	0.409567413	0.961452072
2D	29	39	30.4	0.76	0.49	0.27	0.644736842	0.626702852	0.339680295	1.179223147	0.423132664	0.996145045
2D	30	38	31.235	0.91	0.64	0.27	0.703296703	0.598824863	0.332415099	1.135699018	0.41473414	1.035188057
2D	31	37	32.135	0.89	0.58	0.31	0.651685393	0.684278873	0.368565169	1.193493752	0.487844435	1.051801369
2D	32	36	32.935	0.71	0.55	0.16	0.774647887	0.577554298	0.339590931	1.178928202	0.441155852	1.046423957
2D	33	35	33.565	0.54	0.4	0.14	0.740740741	0.585114515	0.317862609	1.128215787	0.439598874	1.000873489
2D	34	34	34.025	0.37	0.23	0.14	0.621621622	0.693093981	0.361258976	1.149881887	0.476391705	1.049104863
2D	35	33	34.445	0.47	0.33	0.14	0.70212766	0.628313308	0.3395395	1.077475648	0.497390846	0.936916254
2D	36	32	34.93	0.5	0.34	0.16	0.68	0.674186266	0.411869651	1.120831847	0.521662718	0.998298806
2D	37	31	35.45	0.54	0.37	0.17	0.685185185	0.663428671	0.382911503	1.135236262	0.519381968	0.976942082
2D	38	30	36.03	0.62	0.43	0.19	0.693548387	0.667213079	0.35395524	1.193036011	0.496272575	1.054078428
2D	39	29	36.745	0.81	0.51	0.3	0.62962963	0.717635725	0.404564842	1.149554299	0.540577952	1.01863394
2D	40	28	37.475	0.65	0.45	0.2	0.692307692	0.630406225	0.361136629	1.149467279	0.476054231	0.977698214
2D	41	27	38.075	0.55	0.39	0.16	0.709090909	0.647242232	0.382809673	1.077083949	0.517256359	0.964082798
2D	42	26	38.575	0.45	0.3	0.15	0.666666667	0.667240974	0.411718694	1.033644717	0.542857593	0.916007736
2D	43	25	39.05	0.5	0.32	0.18	0.64	0.686492973	0.37554101	1.091446067	0.525371294	0.972931515
2D	44	24	39.5	0.4	0.2	0.2	0.5	0.64144946	0.462298641	0.787698281	0.56028492	0.722614
2D	45	23	39.935	0.47	0.26	0.21	0.553191489	0.609508111	0.368278518	0.852735248	0.483973034	0.764932493
2D	46	22	40.33	0.32	0.16	0.16	0.5	0.77227031	0.418877291	1.127468695	0.552192783	0.992347836
2D	47	21	40.765	0.55	0.35	0.2	0.636363636	0.659820317	0.368247347	1.047875643	0.504591267	0.931471156
2D	48	20	41.325	0.57	0.35	0.22	0.614035088	0.70523625	0.411605959	1.156263332	0.54505172	0.960075274
2D	49	19	41.92	0.62	0.44	0.18	0.709677419	0.626012235	0.375430709	1.018834038	0.513945867	0.899952248
2D	50	18	42.53	0.6	0.3	0.3	0.5	0.739990661	0.404330829	1.062146775	0.538551005	0.941430317
2D	51	17	43.135	0.6	0.39	0.21	0.65	0.649900329	0.36816193	1.069312899	0.49642301	0.934929635
2D	52	16	43.82	0.76	0.53	0.23	0.697368421	0.649263259	0.346452456	1.148743006	0.487741104	1.021466485
2D	53	15	44.5	0.6	0.39	0.21	0.65	0.697684753	0.418703426	1.105304696	0.556586925	0.959723577
2D	54	14	45.11	0.62	0.37	0.25	0.596774194	0.7007652	0.368089375	1.141369599	0.510289955	0.982668562
2D	55	13	45.74	0.64	0.43	0.21	0.671875	0.667516655	0.389744312	1.119619325	0.510920716	0.988165484
2D	56	12	46.335	0.55	0.34	0.21	0.618181818	0.668782913	0.396950629	1.076201792	0.490253764	0.957830107
2D	57	11	46.86	0.5	0.28	0.22	0.56	0.694775899	0.425830299	0.974986094	0.557707353	0.869226775
2D	58	10	47.43	0.64	0.39	0.25	0.609375	0.633308827	0.360776547	0.989374819	0.477499314	0.876371667
2D	59	9	48.11	0.72	0.4	0.32	0.555555556	0.679450561	0.389655116	1.032653282	0.494961913	0.910061371
2D	60	8	48.965	0.99	0.67	0.32	0.676767677	0.582043782	0.33905438	0.996439601	0.43048904	0.899361522
2D	61	7	50.14	1.36	1	0.36	0.735294118	0.476089208	0.259550006	0.873502324	0.362633735	0.791243299
2D	62	6	51.08	0.52	0.34	0.18	0.653846154	0.574827042	0.310084357	0.967351108	0.426289197	0.855398526
2D	63	5	51.91	1.14	0.71	0.43	0.622807018	0.626311638	0.346170231	1.017806523	0.441898279	0.930808116
2D	64	4	53.14	1.31	0.95	0.36	0.72519084	0.537051065	0.302799882	1.060991226	0.392121578	0.919503878
2D	65	3	54.445	1.29	0.87	0.42	0.674418605	0.573210599	0.309986609	1.031982777	0.410159232	0.910959857
2D	66	2	55.71	1.24	0.82	0.42	0.661290323	0.55330233	0.317167936	0.945217267	0.392267387	0.867703886
2D	67	1	56.9	1.14	0.58	0.56	0.50877193	0.719019861	0.338789098	1.161670293	0.452048592	0.995525819
2U	1	67	0.905	1.81	1.18	0.63	0.651933702	0.422414202	0.253581402	0.609241382	0.363019155	0.533662069
2U	2	66	2.56	1.49	0.39	1.1	0.261744966	0.553497646	0.413243467	0.659981073	0.470191857	0.583033335
2U	3	65	3.965	1.31	1.11	0.2	0.847328244	0.528909829	0.442225203	0.826827403	0.491314652	0.73756306
2U	4	64	5.205	1.17	0.71	0.46	0.606837607	0.571423872	0.38412089	0.870295937	0.461287515	0.741416943
2U	5	63	6.4	1.22	0.98	0.24	0.803278689	0.487149772	0.391325074	0.739603886	0.4480541	0.646790436
2U	6	62	7.395	0.77	0.57	0.2	0.74025974	0.547440371	0.36954279	0.891931074	0.476210264	0.750446176
2U	7	61	8.24	0.92	0.57	0.35	0.619565217	0.520291947	0.282453719	0.913630506	0.395991342	0.72272436
2U	8	60	9.14	0.87	0.63	0.24	0.724137931	0.49914939	0.325963514	0.913574943	0.413018029	0.725244213
2U	9	59	9.9	0.64	0.38	0.26	0.59375	0.594574372	0.333199695	1.051359313	0.430366859	0.834569967
2U	10	58	10.63	0.82	0.45	0.37	0.548780488	0.637660372	0.31867443	1.116583127	0.438765194	0.879559914
2U	11	57	11.36	0.64	0.48	0.16	0.75	0.492732059	0.311398506	0.971450971	0.389221695	0.803263152
2U	12	56	12.115	0.87	0.51	0.36	0.586206897	0.657856363	0.340397543	1.116448196	0.433975057	0.975021546
2U	13	55	13.22	1.34	0.83	0.51	0.619402985	0.56080105	0.340370638	0.956802311	0.40092314	0.820994512
2U	14	54	14.535	1.29	0.89	0.4	0.689922481	0.518244281	0.296821963	0.992949365	0.368931876	0.850464383
2U	15	53	15.805	1.24	0.84	0.4	0.677419355	0.57165014	0.289543172	1.130627589	0.379662385	0.974824424
2U	16	52	17.06	1.26	0.9	0.36	0.714285714	0.580325406	0.304020544	1.130516783	0.427915856	0.961349281
2U	17	51	18.235	1.09	0.78	0.31	0.71559633	0.567563666	0.318493098	1.123175322	0.41942516	0.940299263
2U	18	50	19.26	0.96	0.71	0.25	0.739583333	0.519089825	0.282219629	1.1230883	0.361955377	0.965351659
2U	19	49	20.095	0.71	0.45	0.26	0.633802817	0.62083904	0.318441569	1.130272056	0.40462046	0.995063504
2U	20	48	20.92	0.94	0.77	0.17	0.819148936	0.501317614	0.311173813	1.130193079	0.395985388	0.978410638
