g.dw.trap	year	season	plot	loc	needle	cone	twig	bark	mis	note
20062	2006	3	2	75E	1.3	1.7	1.2	2.5	0.9	
20062	2006	3	2	75N	1.3	0	1.4	2.2	0.9	
20062	2006	3	2	75S	1.4	0	1.8	2.9	1.3	
20062	2006	3	2	75W	1.5	0	12.7	2.5	0.9	
20062	2006	3	2	C1	1.9	3.3	0.6	3	1	
20062	2006	3	2	C2	2.6	0.2	0.5	2.6	0.6	
20062	2006	3	2	C3	1.6	1.3	1.6	3	0.5	
20063	2006	3	3	50E	2.2	4.1	2.5	2.4	1.6	
20063	2006	3	3	50N	2.5	2	0.7	3	0.8	
20063	2006	3	3	50S	1.3	0	10.3	2.3	1.2	
20063	2006	3	3	50W	1.8	0	2.1	2.1	0.7	
20063	2006	3	3	75E	0.9	1.3	1	2.3	0.7	
20063	2006	3	3	75N	1.5	0	2.4	3.2	0.6	
20063	2006	3	3	75S	0.7	0	0	1.8	0.7	
20063	2006	3	3	75W	1.5	0	2.3	1.5	0.5	
20063	2006	3	3	C1	1.6	0.9	0.2	0.9	0.4	
20063	2006	3	3	C2	1.9	0	1.8	2.5	1	
20063	2006	3	3	C3	1	0	2.2	1.7	0.8	
20072	2007	1	2	50E	17.5	0	0	2	2.1	
20072	2007	1	2	50N	18.6	1.3	2.3	2.3	1.8	
20072	2007	1	2	50S	12.2	10.8	0	1.9	1.5	
20072	2007	1	2	50W	15.8	0	0	1.9	1.1	
20072	2007	1	2	75E	15.4	8.2	22.7	2.5	2.1	
20072	2007	1	2	75N	16.2	0	0	1.5	1.4	
20072	2007	1	2	75S	6.7	6.6	0	0.3	1.6	odd
20072	2007	1	2	75W	14.7	2.1	0.4	2.2	1.9	
20072	2007	1	2	C1						broken_trap
20072	2007	1	2	C2	17.2	2.7	0.1	0.9	1.4	
20072	2007	1	2	C3	17.8	0	0	1.2	1.9	
20073	2007	1	3	50E	23.2	5.8	0.3	3	1.5	
20073	2007	1	3	50N	16.6	1.1	0	1.6	1.8	
20073	2007	1	3	50S	16.5	0	1	1.2	1.6	
20073	2007	1	3	50W	26.3	0.3	0.3	3.3	1.7	
20073	2007	1	3	75E	13.3	0	0	1.4	1.8	
20073	2007	1	3	75N	22.5	1.3	0	3.3	2.1	
20073	2007	1	3	75S	17.8	0.7	0.5	0.9	1.7	
20073	2007	1	3	75W	24.7	0	0	2.2	2	
20073	2007	1	3	C1	26.6	13.6	0	2.1	2.9	
20073	2007	1	3	C2	29.2	0	7	1.6	1.9	
20073	2007	1	3	C3	25.6	0	0	1.8	1.5	
20072	2007	2	2	50E	2.3	1.8	1.4	1.3	0.4	
20072	2007	2	2	50N	1.4	0	0.7	1	0.3	
20072	2007	2	2	50S	1.9	0	0.7	1.5	0.3	
20072	2007	2	2	50W	0.8	0	0.3	1.2	0.2	
20072	2007	2	2	75E	1.3	4	0	1.5	0.4	
20072	2007	2	2	75N	1.2	0	0	1.1	0.2	
20072	2007	2	2	75S	1.3	3.6	0	1.8	0.5	
20072	2007	2	2	75W	1.3	0	2.1	1.3	0.3	
20072	2007	2	2	C1	2.3	0	0.3	1.7	0.3	
20072	2007	2	2	C2	0.9	0	0	0.3	0.2	
20072	2007	2	2	C3	1.7	0	1.1	1	0.3	
20073	2007	2	3	50E	1	0	1.1	0	0	
20073	2007	2	3	50N	1.2	0.7	0	1	0.3	
20073	2007	2	3	50S	0	0	0	1	0	
20073	2007	2	3	50W	1	0	0	0.7	0.4	
20073	2007	2	3	75E	1.4	0	0.3	1.6	0.3	
20073	2007	2	3	75N	2	1.8	2.8	0.7	0.5	
20073	2007	2	3	75S	2.3	1.4	0.5	0.4	0.6	
20073	2007	2	3	75W	1	0	4.8	0.3	0.4	
20073	2007	2	3	C1	0.4	0	0	0	0	
20073	2007	2	3	C2	3	0	0.5	1	0.5	
20073	2007	2	3	C3	1.9	0	0.6	1.2	0.3	
20082	2008	1	2	50E	24.3	0.2	0	2.2	5.1	
20082	2008	1	2	50N	17.3	4.9	0.5	1.7	3.1	
20082	2008	1	2	50S	18.8	9.1	2.3	3.5	3.3	
20082	2008	1	2	50W	27.6	2.4	0	3.2	2.6	
20082	2008	1	2	75E	20.9	16.2	0.3	3	4.4	
20082	2008	1	2	75N	14.5	1.8	0	1.1	2.7	
20082	2008	1	2	75S	22.4	10.6	0	3.2	4.7	
20082	2008	1	2	75W	22.5	24.6	0.2	2.1	4.1	
20082	2008	1	2	C1	23.9	4.7	0	2.3	3.2	
20082	2008	1	2	C2	23.4	8.6	0.2	2.1	3.1	
20082	2008	1	2	C3	16	3.9	0.1	3.2	2.7	
20083	2008	1	3	50E	25.6	10.7	0.2	4.3	4.4	
20083	2008	1	3	50N	21.7	2.2	2.2	2.3	3.1	
20083	2008	1	3	50S	11.9	0.8	0.4	3	1.5	
20083	2008	1	3	50W	23.3	3.1	0.3	1.7	2.8	
20083	2008	1	3	75E	13.9	0	0	2	2.1	
20083	2008	1	3	75N	24.9	3.8	0	4.7	4.1	
20083	2008	1	3	75S	14.1	4	1.1	1.3	2.4	
20083	2008	1	3	75W	18.8	2.3	0.2	5.2	1.9	
20083	2008	1	3	C1	32.8	0	0.1	4.6	4.4	
20083	2008	1	3	C2	25.1	3.3	0.4	6.5	3.6	
20083	2008	1	3	C3	16.2	0	0	2.1	2	
20082	2008	2	2	50E	6.3	4.9	0.4	1.1	1.4	
20082	2008	2	2	50N	2.8	5	0.9	2.7	0.9	
20082	2008	2	2	50S	4.1	0.3	0.3	1.8	1	
20082	2008	2	2	50W	3.8	0	0	2.8	0.9	
20082	2008	2	2	75E	5.3	1.5	0.4	3.4	1.7	
20082	2008	2	2	75N	1.5	0.2	0	1.5	0.8	
20082	2008	2	2	75S	4.1	0	0.2	2	1.1	
20082	2008	2	2	75W	3.6	2.7	1.2	1.7	1.3	
20082	2008	2	2	C1	2.8	0	0	2.6	1	
20082	2008	2	2	C2	3	2.8	0	1.9	0.9	
20082	2008	2	2	C3	2.7	0	3.3	1	1.1	
20083	2008	2	3	50E	3.7	3.5	0.8	2.1	0.9	
20083	2008	2	3	50N	2.4	2.4	0.1	2.6	0.9	
20083	2008	2	3	50S	1.3	0	3.9	1.5	0.5	
20083	2008	2	3	50W	1.8	0	0.1	2.4	0.7	
20083	2008	2	3	75E	2	0	0	1.9	0.6	
20083	2008	2	3	75N	2.7	0	1.6	1.8	0.9	
20083	2008	2	3	75S	2.7	0	0.6	1.3	0.7	
20083	2008	2	3	75W	2.1	2.9	2.3	1.9	0.8	
20083	2008	2	3	C1	1.3	0	0.1	0.9	0.6	
20083	2008	2	3	C2	3.4	0	1.1	1.7	0.7	
20083	2008	2	3	C3	2.3	0	0.5	2.2	0.6	
20092	2009	1	2	50E	32.5	0.4	0	1.3	3.9	
20092	2009	1	2	50N	23.3	3.8	1.1	2.2	2.7	
20092	2009	1	2	50S	22.6	10.2	0	1.3	3.1	
20092	2009	1	2	50W	25.6	0	0	1.7	2.5	
20092	2009	1	2	75E	28.6	10.5	0	6	4.4	
20092	2009	1	2	75N	14.7	0	0	1	2.8	
20092	2009	1	2	75S	31.9	9.3	0	2	4.7	
20092	2009	1	2	75W	22.4	9.5	0	1.9	3.7	
20092	2009	1	2	C1	25.6	4.7	0	2.3	2.7	
20092	2009	1	2	C2	27	14.9	0	1.4	2.5	
20092	2009	1	2	C3	19.6	0.2	0.6	1.9	1.7	
20093	2009	1	3	50E	25.7	4.3	1.5	2	2.3	
20093	2009	1	3	50N	20.1	3.9	0	1.4	1.7	
20093	2009	1	3	50S	14.4	0	0	1.1	1.1	
20093	2009	1	3	50W	31.5	0.6	0	0.8	1.6	
20093	2009	1	3	75E	15.9	0	0	1.4	1.4	
20093	2009	1	3	75N	29.2	4.1	0	2.3	2.3	
20093	2009	1	3	75S	19.1	6.3	1.8	1.5	1.8	
20093	2009	1	3	75W	24.3	0	0	1.1	1.5	
20093	2009	1	3	C1	34.9	6.5	1	4.5	2.3	
20093	2009	1	3	C2	34.2	0	0.1	3.1	1.7	
20093	2009	1	3	C3	21.3	14.3	0	1	1.2	
20092	2009	2	2	50E	3.5	0	0.6	0.8	0.3	
20092	2009	2	2	50N	2.6	3.9	0.4	0.9	0.1	
20092	2009	2	2	50S	2.9	0	1.8	0.9	0.3	
20092	2009	2	2	50W	1.6	0	0	0.1	0	
20092	2009	2	2	75E	2	0	0.9	1.5	0.3	
20092	2009	2	2	75N	0.2	0	0	0	0	
20092	2009	2	2	75S	2.4	0	2.6	0.9	0.4	
20092	2009	2	2	75W	2.4	0	0.2	0.2	0.4	
20092	2009	2	2	C1	1.8	0.1	0	0.2	0	
20092	2009	2	2	C2	1.9	0	0.1	0.5	0.2	
20092	2009	2	2	C3	0.7	0.4	1	0.1	0	
20093	2009	2	3	50E	1.5	0	5.5	0.9	0.5	
20093	2009	2	3	50N	0.7	0.1	0.5	0.4	0	
20093	2009	2	3	50S	0.4	0	0.3	0.2	0.2	
20093	2009	2	3	50W	0.9	0	0	0.3	0	
20093	2009	2	3	75E	0.8	2.2	0	1.1	0.4	
20093	2009	2	3	75N	1	3.5	11	0.8	0.4	
20093	2009	2	3	75S	1.2	0	0.7	0.5	0.7	
20093	2009	2	3	75W	1.4	0	1	0.6	0.2	
20093	2009	2	3	C1	1.5	1.7	0.5	0.7	0.5	
20093	2009	2	3	C2	1.3	0	2.4	1.1	0.4	
20093	2009	2	3	C3	1.2	0	5.2	0.2	0.4	
20102	2010	1	2	50E	41.1	0.2	0	1.3	4.9	
20102	2010	1	2	50N	36.1	7.5	0.2	1	5	
20102	2010	1	2	50S	26.4	0	0	1.9	4.8	
20102	2010	1	2	50W	41.5	0	0.5	2.2	4.5	
20102	2010	1	2	75E	46.6	0	0	1.5	6.5	
20102	2010	1	2	75N	22	0	0.4	0.7	3.7	
20102	2010	1	2	75S	29.1	4.5	0	0.7	3.7	
20102	2010	1	2	75W	43.4	4.1	7.2	3.4	5.8	
20102	2010	1	2	C1	24.8	6.9	0.4	1.9	4.8	
20102	2010	1	2	C2	30.1	0	0	1.3	4.1	
20102	2010	1	2	C3	30.2	4.3	0	1	3.2	
20103	2010	1	3	50E	26.5	0	0	2.5	1.8	
20103	2010	1	3	50N	3.5	4.2	0.1	1.6	1.6	
20103	2010	1	3	50S	9.4	0	0	1	1.9	
20103	2010	1	3	50W	24.6	0	0	1.4	1.9	
20103	2010	1	3	75E	13.1	0	0	2.6	2.2	
20103	2010	1	3	75N	21.9	2.4	0	2.2	3	
20103	2010	1	3	75S	18	0	0	0.7	2.7	
20103	2010	1	3	75W	22.9	1.4	0	1.5	1.6	
20103	2010	1	3	C1	30.6	2.8	1.3	3	2.1	
20103	2010	1	3	C2	24.6	1.5	0	1.8	2.2	
20103	2010	1	3	C3	21.7	0	0	4.4	1.3	
20102	2010	2	2	50E	14.2	0	0	1.2	0.8	
20102	2010	2	2	50N	8.6	0	0.6	1.4	0.8	
20102	2010	2	2	50S	9.1	0	0	1.6	0.5	
20102	2010	2	2	50W	8	0	0.3	2.1	0.3	
20102	2010	2	2	75E	10.9	1.9	0	1.2	0.8	
20102	2010	2	2	75N	6.1	0	0	0.5	0.5	
20102	2010	2	2	75S	6.9	0	0	0.8	0.4	
20102	2010	2	2	75W	11.5	0	2.4	2.6	0.8	
20102	2010	2	2	C1	4.6	0.2	0	1.8	0.3	
20102	2010	2	2	C2	8.2	0	0.3	1.4	0.6	
20102	2010	2	2	C3	6	0	1.1	3	0.5	
20103	2010	2	3	50E	3.5	5.7	0.5	1.5	0.9	
20103	2010	2	3	50N	3.1	0	0.5	0.8	0.2	
20103	2010	2	3	50S	0.9	0	0	0.9	0.3	
20103	2010	2	3	50W	4.3	0	0	1.2	0.5	
20103	2010	2	3	75E	2.6	0	0	0.9	0.1	
20103	2010	2	3	75N	4.1	2.3	0.3	1.6	0.5	
20103	2010	2	3	75S	2.4	0.6	0	0.8	0.1	
20103	2010	2	3	75W	3.7	1.8	0.5	0.7	0.4	
20103	2010	2	3	C1	4.4	1.1	0.2	1	0.5	
20103	2010	2	3	C2	6.4	0	1.2	0.2	0.1	
20103	2010	2	3	C3	4.6	0	0.6	0.9	0.6	
20112	2011	1	2	50E	37.6	0	1.6	1.5	4.5	
20112	2011	1	2	50N	32.9	0.5	0.2	1.8	5.7	
20112	2011	1	2	50S	24.1	0	0	2.2	4.2	
20112	2011	1	2	50W	27.6	0	0	1.1	3.4	
20112	2011	1	2	75E	38	5.6	0.2	1.8	6.5	
20112	2011	1	2	75N	18.1	0	0.1	1.4	5.2	
20112	2011	1	2	75S	34	0	0.6	1.7	6.9	
20112	2011	1	2	75W	46	3.5	1.4	1.2	6	
20112	2011	1	2	C1	28.9	0	0.2	1.7	4.6	
20112	2011	1	2	C2	20.3	2.9	0	0.7	4.5	
20112	2011	1	2	C3	23.8	0	0	0.9	3.7	
20113	2011	1	3	50E	18.7	0	0.3	3.1	2	
20113	2011	1	3	50N	12.5	0	0.3	1.6	1.5	
20113	2011	1	3	50S	8.8	0	1.2	1.1	1.6	
20113	2011	1	3	50W	17.6	0.9	0.2	1.2	1.5	
20113	2011	1	3	75E	12.3	0	1.9	0.4	1.5	
20113	2011	1	3	75N	18.7	0	0	1.4	2	
20113	2011	1	3	75S	14	1.6	0	1.2	1.5	
20113	2011	1	3	75W	14.7	3.8	0	2.3	1.5	
20113	2011	1	3	C1	22.6	7.5	0.5	1.7	2.2	
20113	2011	1	3	C2	17.4	3.4	0.2	2.2	1.9	
20113	2011	1	3	C3	15.4	0	0	1.6	1.7	
20112	2011	2	2	50E	22.1	0	2.5	3.4	2.2	
20112	2011	2	2	50N	11.2	1.5	0.3	2.1	2.2	
20112	2011	2	2	50S	10.5	0.2	0.4	3.5	1.6	
20112	2011	2	2	50W	14.9	0	15.7	2.1	2.3	
20112	2011	2	2	75E	17.1	0	4.1	1.5	2.3	
20112	2011	2	2	75N	7.5	1.9	0	1.5	1	
20112	2011	2	2	75S	17.6	0	3.8	2.5	2.1	
20112	2011	2	2	75W	16.8	0	5.4	2.6	1.9	
20112	2011	2	2	C1						broken_trap
20112	2011	2	2	C2	11.8	4.4	1.7	2.9	1.2	
20112	2011	2	2	C3	13.7	1.9	0.5	2.4	1.7	
20113	2011	2	3	50E	4.3	0	13	1.9	1.7	
20113	2011	2	3	50N	3.6	0	0.2	1.7	0.7	
20113	2011	2	3	50S	2.5	0	0.8	0.8	0.9	
20113	2011	2	3	50W	5.2	0	0	2.6	0.7	
20113	2011	2	3	75E	3	0	0.4	1.7	0.9	
20113	2011	2	3	75N	4.4	0	0.6	2	1	
20113	2011	2	3	75S	2.9	0	0.7	2	1.2	
20113	2011	2	3	75W	4	3.1	0.2	1.5	0.7	
20113	2011	2	3	C1	5.3	0	4.6	4.7	1.5	
20113	2011	2	3	C2	5.8	0	2.2	2.9	1.5	
20113	2011	2	3	C3						broken_trap
20122	2012	1	2	50E	44.2	0	0.3	0.8	3.3	
20122	2012	1	2	50N	29.5	4.4	0	1.9	6	
20122	2012	1	2	50S	29	0.9	0.3	0.7	2.4	
20122	2012	1	2	50W	26.4	0	0	2.2	2.6	
20122	2012	1	2	75E	41.4	9	2.1	2.1	3.9	
20122	2012	1	2	75N	22.7	0	0.1	0.3	3.7	
20122	2012	1	2	75S	49.3	0	0	2	5.3	
20122	2012	1	2	75W	46.3	5.3	0.5	0.6	6.1	
20122	2012	1	2	C1						broken_trap
20122	2012	1	2	C2	32.7	7.9	0.4	0.7	3.6	
20122	2012	1	2	C3	28.4	2.6	0	0.7	2.6	
20123	2012	1	3	50E	24.3	0.1	0	1.6	2.6	
20123	2012	1	3	50N	17.8	0	0	0.9	1.3	
20123	2012	1	3	50S	15.9	0	0	0.5	1.5	
20123	2012	1	3	50W	17.4	0	0	1.5	1.4	
20123	2012	1	3	75E	13.6	0	0	0.9	1.4	
20123	2012	1	3	75N	18.3	0	0	1	1.7	
20123	2012	1	3	75S	12.6	0	0	0.7	1.6	
20123	2012	1	3	75W	17.1	0	0	1	1.6	
20123	2012	1	3	C1	29.9	9.7	0	2.5	2.3	
20123	2012	1	3	C2	20.5	2.8	1.9	1.9	1.8	
20123	2012	1	3	C3	19.9	1.7	1.6	3.6	1.9	
20122	2012	2	2	50E	24.8	0	2.9	1.7	1.1	
20122	2012	2	2	50N	14.5	4.3	0	2.1	0.9	
20122	2012	2	2	50S	16.1	0	8.2	1.7	1.3	
20122	2012	2	2	50W	14.6	0	0.8	1.2	0.8	
20122	2012	2	2	75E	16.5	0	1.1	2.3	0.8	
20122	2012	2	2	75N	10.3	0	0	0.5	0.8	
20122	2012	2	2	75S	25.4	0	0	2.7	1	
20122	2012	2	2	75W	17.9	3.8	0	2.5	1	
20122	2012	2	2	C1	19.4	3	0	2.2	1	
20122	2012	2	2	C2	16.1	0	0	0.8	0.5	
20122	2012	2	2	C3	14.4	0	0.7	1.2	0.9	
20123	2012	2	3	50E	7.9	0	0.2	0.4	0.8	
20123	2012	2	3	50N	8.6	0	0.8	1.3	0.4	
20123	2012	2	3	50S	3.5	0	0	0.8	0.3	
20123	2012	2	3	50W	8	0	0	2.1	0.4	
20123	2012	2	3	75E	9.6	4	0.2	1.1	0.7	
20123	2012	2	3	75N	11.7	0	0	1	0.6	
20123	2012	2	3	75S	8.8	6.5	0.9	0.3	0.5	
20123	2012	2	3	75W	6.8	0	0	0.4	0.6	
20123	2012	2	3	C1	10.9	0	3.5	1.4	0.9	
20123	2012	2	3	C2	13.3	0	0.5	1.1	0.9	
20123	2012	2	3	C3	6.7	1.7	4.1	0.8	0.7	
20132	2013	1	2	50E	57.8	5.1	0.1	2.4	2.6	
20132	2013	1	2	50N						broken_trap
20132	2013	1	2	50S	45.5	23.3	0	1.5	3.4	
20132	2013	1	2	50W	48	0	0	1.5	2.6	
20132	2013	1	2	75E	52.8	11.7	0.2	2.8	4.5	
20132	2013	1	2	75N	35.9	4.1	0.1	0.3	3.2	
20132	2013	1	2	75S	65.4	0.3	0	2.6	5	
20132	2013	1	2	75W	56.3	11.1	0.3	1.6	4.6	
20132	2013	1	2	C1	39.7	3.6	0.3	2.4	3.3	
20132	2013	1	2	C2	55.8	16.7	0	1.9	3.9	
20132	2013	1	2	C3	45.1	4.5	0	1.2	2.9	
20133	2013	1	3	50E	32	1.5	0	1.9	2.5	
20133	2013	1	3	50N	26	12.1	0	1.3	2.1	
20133	2013	1	3	50S	16	0	0	0.7	1.9	
20133	2013	1	3	50W	26.9	0	0.1	1.2	1.7	
20133	2013	1	3	75E	19.6	0	3.1	0.9	1.8	
20133	2013	1	3	75N	27	8.3	2.1	4	2	
20133	2013	1	3	75S	23.7	8.3	0.1	1.4	1.7	
20133	2013	1	3	75W	23.7	1.3	0.2	1	1.9	
20133	2013	1	3	C1	40.2	23.4	5.1	3.2	3.1	
20133	2013	1	3	C2	29.3	0	4.1	1.4	2	
20133	2013	1	3	C3	23.7	0	0	2.7	1.6	
20132	2013	2	2	50E	17.8	2.6	0.9	4.3	2	
20132	2013	2	2	50N	15.9	13.2	1.5	3.8	1.7	
20132	2013	2	2	50S	18.2	0	1.4	3.7	1.6	
20132	2013	2	2	50W	14.2	1.1	1	2.7	1.5	
20132	2013	2	2	75E	17.8	5.7	7.1	2.5	1.5	
20132	2013	2	2	75N	19.1	0.3	0.2	3.3	1.6	
20132	2013	2	2	75S	17.6	6.8	0.9	2.7	2.1	
20132	2013	2	2	75W	15.8	22.2	8.2	3.1	2.8	
20132	2013	2	2	C1	20.4	0.4	1.5	4.7	2	
20132	2013	2	2	C2	18.4	9.3	3.6	2.3	1.3	
20132	2013	2	2	C3	19.7	6.8	0.5	2.8	1.6	
20133	2013	2	3	50E	6.6	4	2.8	3.8	1.1	
20133	2013	2	3	50N	6	0	3.6	2.1	1	
20133	2013	2	3	50S	3.4	1.7	6	3.9	0.9	
20133	2013	2	3	50W	3.8	0.8	2.6	5.2	1	
20133	2013	2	3	75E	3.8	2.9	0.4	2.6	0.9	
20133	2013	2	3	75N	5.2	7.6	11.1	3.3	1.5	
20133	2013	2	3	75S	3.2	0.2	0	1.5	0.8	
20133	2013	2	3	75W	4.1	0	1	2.8	1	
20133	2013	2	3	C1	4.8	7.7	5.7	6.3	0.9	
20133	2013	2	3	C2	6	0	6.2	4	1.1	
20133	2013	2	3	C3	4.9	3.2	1	3.7	0.9	
20142	2014	1	2	50E	42.4	7.3	5.0	1.9	3.9	
20142	2014	1	2	50N	36.6	25.2	2.9	1.1	5.3	
20142	2014	1	2	50S	46.4	0.0	0.0	1.0	4.3	
20142	2014	1	2	50W	33.9	3.7	0.2	1.2	2.6	
20142	2014	1	2	75E	44.2	27.6	0.0	2.8	4.0	
20142	2014	1	2	75N	29.8	16.9	2.0	0.5	3.2	
20142	2014	1	2	75S	38.8	1.9	0.7	1.3	4.2	
20142	2014	1	2	75W	45.7	10.1	0.0	1.5	4.4	
20142	2014	1	2	C1	36.6	17.2	0.0	1.8	3.9	
20142	2014	1	2	C2	47.2	16.6	0.1	2.8	4.8	
20142	2014	1	2	C3						broken_trap
20143	2014	1	3	50E	42.4	11.9	0.3	3.1	4.5	
20143	2014	1	3	50N	33.0	1.3	0.7	1.0	2.9	
20143	2014	1	3	50S	26.5	0.0	0.3	1.7	2.7	
20143	2014	1	3	50W	41.2	0.0	0.0	2.0	2.9	
20143	2014	1	3	75E	20.9	5.3	0.5	2.6	3.4	
20143	2014	1	3	75N	36.0	0.5	0.1	3.8	3.2	
20143	2014	1	3	75S	24.9	4.3	0.9	3.8	2.9	
20143	2014	1	3	75W	33.9	0.0	0.0	3.2	3.0	
20143	2014	1	3	C1	49.0	5.4	1.4	3.9	5.0	
20143	2014	1	3	C2	40.1	7.9	0.2	3.8	3.9	
20143	2014	1	3	C3	25.5	0.7	0.0	2.8	2.5	
20142	2014	2	2	50E	8.77	3.53	1.6	2.57	2.03	
20142	2014	2	2	50N	6.89	3.08	1.7	2.23	1.91	
20142	2014	2	2	50S	10.58	9.86	4.93	2.46	2.87	
20142	2014	2	2	50W	5.42	0	2.76	2.34	1.28	
20142	2014	2	2	75E	10.47	9.33	2.07	2.07	1.45	
20142	2014	2	2	75N	7.29	0	0.42	1.58	1.9	
20142	2014	2	2	75S	7.07	0	4.18	2.25	1.5	
20142	2014	2	2	75W	9.42	5.4	2.96	2.33	1.59	
20142	2014	2	2	C1	9.94	5.02	16.09	3.49	2.26	
20142	2014	2	2	C2	9.73	9.73	0.1	1.67	1.46	
20142	2014	2	2	C3	7.69	2.88	1.07	2.24	1.71	
20143	2014	2	3	50E	3.96	0	3.32	3.96	0.96	
20143	2014	2	3	50N	3.02	0	8.11	3.43	1.04	
20143	2014	2	3	50S	1.88	1.88	3.2	1.88	0.77	
20143	2014	2	3	50W	2.4	0	2.04	5.76	0	
20143	2014	2	3	75E	2.1	3.03	1.4	1.75	0.82	
20143	2014	2	3	75N	3.26	3.69	1.95	2.82	0.98	
20143	2014	2	3	75S	1.48	5.06	0.62	1.48	0.86	
20143	2014	2	3	75W	3.23	3.23	0.11	2.45	0.89	
20143	2014	2	3	C1	3.4	2.19	0.11	5.92	0.88	
20143	2014	2	3	C2	3.91	0	9.4	2.01	1.69	
20143	2014	2	3	C3	2.79	0	1.58	1.82	0.61	
20152	2015	1	2	50E	31.64	0	0.18	0.91	3.17	
20152	2015	1	2	50N	30.35	2.42	3.25	1.33	4.75	
20152	2015	1	2	50S	30.32	9.63	0	2.85	4.71	
20152	2015	1	2	50W	27.33	1.13	0.17	0.87	2.6	
20152	2015	1	2	75E	31.78	0	0.41	2.48	4.22	
20152	2015	1	2	75N	19.93	2.26	0	0.66	3.85	
20152	2015	1	2	75S	25.72	3.17	0	2.29	3.32	
20152	2015	1	2	75W	38.03	0	8.22	1.72	5.73	
20152	2015	1	2	C1	32.6	6.5	7.34	1.67	4.09	
20152	2015	1	2	C2	30.68	13.32	0	1.65	4.04	
20152	2015	1	2	C3	27.38	6.91	0	0.64	2.37	
20153	2015	1	3	50E	21.77	0.56	0	1.03	3.64	
20153	2015	1	3	50N	20.46	0.62	0.18	1.5	2.65	
20153	2015	1	3	50S	11.79	0	0.69	1.13	1.99	
20153	2015	1	3	50W	20.36	0.39	0	1.18	1.87	
20153	2015	1	3	75E	15.75	0	0	1.52	1.63	
20153	2015	1	3	75N	20.7	0	0	1.14	2.66	
20153	2015	1	3	75S	14.94	1.25	0	0.94	1.67	
20153	2015	1	3	75W	16.37	0	0.78	0.78	1.67	
20153	2015	1	3	C1	24.25	5.89	0	1.12	2.94	
20153	2015	1	3	C2	21.81	5.04	0.37	1.92	2.66	
20153	2015	1	3	C3	17.36	0.38	0	1.6	1.97	
20152	2015	2	2	50E	14.6	5.5	3.0	3.2	2.9	
20152	2015	2	2	50N	12.9	6.2	3.0	2.4	3.2	
